[INFO] [1751983376.770950240] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.05] | Desired: [1.00, 1.00, 3.00] | Motors: [1127, 1127, 1133, 1121]
[INFO] [1751983376.772272706] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.05] | Desired: [1.00, 1.00, 3.00] | Motors: [1127, 1127, 1133, 1121]
[INFO] [1751983376.784446924] [Feedback_Linearization_Controller]: Pos: [0.00, -0.00, 0.06] | Desired: [1.00, 1.00, 3.00] | Motors: [1127, 1127, 1133, 1121]
[INFO] [1751983376.801452985] [Feedback_Linearization_Controller]: Pos: [0.00, -0.00, 0.06] | Desired: [1.00, 1.00, 3.00] | Motors: [1124, 1124, 1130, 1118]
[INFO] [1751983376.818360580] [Feedback_Linearization_Controller]: Pos: [0.00, -0.00, 0.06] | Desired: [1.00, 1.00, 3.00] | Motors: [1119, 1119, 1125, 1113]
[INFO] [1751983376.835368516] [Feedback_Linearization_Controller]: Pos: [0.00, -0.00, 0.06] | Desired: [1.00, 1.00, 3.00] | Motors: [1113, 1113, 1119, 1107]
[INFO] [1751983376.852424927] [Feedback_Linearization_Controller]: Pos: [0.00, -0.00, 0.07] | Desired: [1.00, 1.00, 3.00] | Motors: [1107, 1107, 1114, 1101]
[INFO] [1751983376.869761246] [Feedback_Linearization_Controller]: Pos: [0.00, -0.00, 0.07] | Desired: [1.00, 1.00, 3.00] | Motors: [1101, 1101, 1107, 1095]
[INFO] [1751983376.886412596] [Feedback_Linearization_Controller]: Pos: [0.00, -0.00, 0.08] | Desired: [1.00, 1.00, 3.00] | Motors: [1095, 1095, 1101, 1089]
[INFO] [1751983376.903312866] [Feedback_Linearization_Controller]: Pos: [0.00, -0.00, 0.09] | Desired: [1.00, 1.00, 3.00] | Motors: [1088, 1088, 1094, 1082]
[INFO] [1751983376.920463172] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.10] | Desired: [1.00, 1.00, 3.00] | Motors: [1082, 1082, 1088, 1075]
[INFO] [1751983376.937514259] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.11] | Desired: [1.00, 1.00, 3.00] | Motors: [1074, 1074, 1081, 1068]
[INFO] [1751983376.954452792] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.12] | Desired: [1.00, 1.00, 3.00] | Motors: [1067, 1067, 1073, 1060]
[INFO] [1751983376.971527070] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.13] | Desired: [1.00, 1.00, 3.00] | Motors: [1059, 1059, 1066, 1053]
[INFO] [1751983376.993634083] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.15] | Desired: [1.00, 1.00, 3.00] | Motors: [1062, 1062, 1068, 1056]
[INFO] [1751983377.007664180] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.16] | Desired: [1.00, 1.00, 3.00] | Motors: [1039, 1039, 1046, 1033]
[INFO] [1751983377.023983404] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.18] | Desired: [1.00, 1.00, 3.00] | Motors: [1036, 1036, 1042, 1029]
[INFO] [1751983377.040853261] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.20] | Desired: [1.00, 1.00, 3.00] | Motors: [1027, 1027, 1034, 1021]
[INFO] [1751983377.057984652] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.22] | Desired: [1.00, 1.00, 3.00] | Motors: [1019, 1019, 1026, 1013]
[INFO] [1751983377.074996737] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.24] | Desired: [1.00, 1.00, 3.00] | Motors: [1009, 1009, 1016, 1003]
[INFO] [1751983377.091950280] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.27] | Desired: [1.00, 1.00, 3.00] | Motors: [1000, 1000, 1007, 993]
[INFO] [1751983377.108994886] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.29] | Desired: [1.00, 1.00, 3.00] | Motors: [990, 990, 997, 983]
[INFO] [1751983377.125729345] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.32] | Desired: [1.00, 1.00, 3.00] | Motors: [979, 979, 986, 972]
[INFO] [1751983377.143627610] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.34] | Desired: [1.00, 1.00, 3.00] | Motors: [972, 972, 978, 964]
[INFO] [1751983377.161946034] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.37] | Desired: [1.00, 1.00, 3.00] | Motors: [969, 969, 976, 962]
[INFO] [1751983377.178410446] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.40] | Desired: [1.00, 1.00, 3.00] | Motors: [950, 950, 957, 942]
[INFO] [1751983377.201812595] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.43] | Desired: [1.00, 1.00, 3.00] | Motors: [967, 967, 974, 960]
[INFO] [1751983377.215066795] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.46] | Desired: [1.00, 1.00, 3.00] | Motors: [936, 936, 943, 928]
[INFO] [1751983377.229112965] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.49] | Desired: [1.00, 1.00, 3.00] | Motors: [903, 903, 910, 895]
[INFO] [1751983377.245620094] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.53] | Desired: [1.00, 1.00, 3.00] | Motors: [901, 901, 909, 894]
[INFO] [1751983377.262477810] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.56] | Desired: [1.00, 1.00, 3.00] | Motors: [890, 890, 897, 882]
[INFO] [1751983377.279490942] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.60] | Desired: [1.00, 1.00, 3.00] | Motors: [878, 878, 885, 870]
[INFO] [1751983377.296559655] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.64] | Desired: [1.00, 1.00, 3.00] | Motors: [865, 865, 872, 857]
[INFO] [1751983377.318856519] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.67] | Desired: [1.00, 1.00, 3.00] | Motors: [883, 883, 891, 876]
[INFO] [1751983377.334818878] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.71] | Desired: [1.00, 1.00, 3.00] | Motors: [864, 864, 872, 856]
[INFO] [1751983377.349213200] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.75] | Desired: [1.00, 1.00, 3.00] | Motors: [802, 802, 811, 794]
[INFO] [1751983377.365293855] [Feedback_Linearization_Controller]: Pos: [0.00, 0.00, 0.80] | Desired: [1.00, 1.00, 3.00] | Motors: [802, 802, 810, 794]
[INFO] [1751983377.383051214] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.84] | Desired: [1.00, 1.00, 3.00] | Motors: [798, 798, 806, 789]
[INFO] [1751983377.400690272] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.89] | Desired: [1.00, 1.00, 3.00] | Motors: [782, 782, 790, 773]
[INFO] [1751983377.417097512] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.94] | Desired: [1.00, 1.00, 3.00] | Motors: [757, 757, 766, 748]
[INFO] [1751983377.434042328] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 0.99] | Desired: [1.00, 1.00, 3.00] | Motors: [741, 741, 750, 731]
[INFO] [1751983377.451044526] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.04] | Desired: [1.00, 1.00, 3.00] | Motors: [724, 724, 734, 714]
[INFO] [1751983377.467917011] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.09] | Desired: [1.00, 1.00, 3.00] | Motors: [709, 709, 719, 699]
[INFO] [1751983377.484988588] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.14] | Desired: [1.00, 1.00, 3.00] | Motors: [692, 692, 702, 681]
[INFO] [1751983377.501993573] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.19] | Desired: [1.00, 1.00, 3.00] | Motors: [676, 677, 687, 666]
[INFO] [1751983377.519165834] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.24] | Desired: [1.00, 1.00, 3.00] | Motors: [662, 664, 674, 652]
[INFO] [1751983377.536751757] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.30] | Desired: [1.00, 1.00, 3.00] | Motors: [651, 653, 663, 640]
[INFO] [1751983377.555613854] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.35] | Desired: [1.00, 1.00, 3.00] | Motors: [648, 650, 661, 637]
[INFO] [1751983377.573508960] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.40] | Desired: [1.00, 1.00, 3.00] | Motors: [631, 633, 645, 620]
[INFO] [1751983377.590807593] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.45] | Desired: [1.00, 1.00, 3.00] | Motors: [612, 615, 626, 600]
[INFO] [1751983377.606935746] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.50] | Desired: [1.00, 1.00, 3.00] | Motors: [608, 611, 623, 596]
[INFO] [1751983377.623032078] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.56] | Desired: [1.00, 1.00, 3.00] | Motors: [587, 591, 603, 575]
[INFO] [1751983377.640076545] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.61] | Desired: [1.00, 1.00, 3.00] | Motors: [575, 579, 592, 562]
[INFO] [1751983377.656642172] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.66] | Desired: [1.00, 1.00, 3.00] | Motors: [554, 558, 572, 539]
[INFO] [1751983377.673457728] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.71] | Desired: [1.00, 1.00, 3.00] | Motors: [545, 550, 564, 530]
[INFO] [1751983377.690835849] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.00, 1.76] | Desired: [1.00, 1.00, 3.00] | Motors: [550, 555, 569, 536]
[INFO] [1751983377.708158042] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.01, 1.81] | Desired: [1.00, 1.00, 3.00] | Motors: [541, 547, 561, 526]
[INFO] [1751983377.725378181] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.01, 1.86] | Desired: [1.00, 1.00, 3.00] | Motors: [529, 536, 551, 514]
[INFO] [1751983377.742960711] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.01, 1.91] | Desired: [1.00, 1.00, 3.00] | Motors: [524, 531, 546, 508]
[INFO] [1751983377.761937343] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.01, 1.96] | Desired: [1.00, 1.00, 3.00] | Motors: [535, 542, 557, 519]
[INFO] [1751983377.779570583] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.01, 2.00] | Desired: [1.00, 1.00, 3.00] | Motors: [534, 542, 557, 518]
[INFO] [1751983377.796465921] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.01, 2.05] | Desired: [1.00, 1.00, 3.00] | Motors: [513, 522, 538, 495]
[INFO] [1751983377.812401356] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.01, 2.09] | Desired: [1.00, 1.00, 3.00] | Motors: [490, 501, 519, 472]
[INFO] [1751983377.827481866] [Feedback_Linearization_Controller]: Pos: [-0.00, -0.02, 2.13] | Desired: [1.00, 1.00, 3.00] | Motors: [484, 496, 514, 465]
[INFO] [1751983377.844291988] [Feedback_Linearization_Controller]: Pos: [-0.01, -0.02, 2.18] | Desired: [1.00, 1.00, 3.00] | Motors: [487, 500, 518, 468]
[INFO] [1751983377.861277099] [Feedback_Linearization_Controller]: Pos: [-0.01, -0.02, 2.22] | Desired: [1.00, 1.00, 3.00] | Motors: [493, 506, 524, 473]
[INFO] [1751983377.877979059] [Feedback_Linearization_Controller]: Pos: [-0.01, -0.02, 2.26] | Desired: [1.00, 1.00, 3.00] | Motors: [486, 501, 519, 466]
[INFO] [1751983377.895780206] [Feedback_Linearization_Controller]: Pos: [-0.01, -0.03, 2.30] | Desired: [1.00, 1.00, 3.00] | Motors: [506, 522, 540, 487]
[INFO] [1751983377.912828569] [Feedback_Linearization_Controller]: Pos: [-0.01, -0.03, 2.33] | Desired: [1.00, 1.00, 3.00] | Motors: [486, 504, 523, 465]
[INFO] [1751983377.929865933] [Feedback_Linearization_Controller]: Pos: [-0.01, -0.04, 2.37] | Desired: [1.00, 1.00, 3.00] | Motors: [491, 510, 529, 471]
[INFO] [1751983377.946820267] [Feedback_Linearization_Controller]: Pos: [-0.01, -0.04, 2.40] | Desired: [1.00, 1.00, 3.00] | Motors: [490, 511, 530, 469]
[INFO] [1751983377.963792154] [Feedback_Linearization_Controller]: Pos: [-0.01, -0.05, 2.44] | Desired: [1.00, 1.00, 3.00] | Motors: [493, 515, 534, 472]
[INFO] [1751983377.981098364] [Feedback_Linearization_Controller]: Pos: [-0.01, -0.05, 2.47] | Desired: [1.00, 1.00, 3.00] | Motors: [500, 523, 543, 479]
[INFO] [1751983377.998314783] [Feedback_Linearization_Controller]: Pos: [-0.02, -0.06, 2.50] | Desired: [1.00, 1.00, 3.00] | Motors: [498, 523, 543, 477]
[INFO] [1751983378.015074320] [Feedback_Linearization_Controller]: Pos: [-0.02, -0.06, 2.53] | Desired: [1.00, 1.00, 3.00] | Motors: [501, 527, 547, 479]
[INFO] [1751983378.032037569] [Feedback_Linearization_Controller]: Pos: [-0.02, -0.07, 2.56] | Desired: [1.00, 1.00, 3.00] | Motors: [507, 535, 555, 485]
[INFO] [1751983378.049121014] [Feedback_Linearization_Controller]: Pos: [-0.02, -0.08, 2.59] | Desired: [1.00, 1.00, 3.00] | Motors: [513, 543, 563, 491]
[INFO] [1751983378.065982563] [Feedback_Linearization_Controller]: Pos: [-0.02, -0.09, 2.61] | Desired: [1.00, 1.00, 3.00] | Motors: [516, 548, 569, 494]
[INFO] [1751983378.082944957] [Feedback_Linearization_Controller]: Pos: [-0.03, -0.09, 2.64] | Desired: [1.00, 1.00, 3.00] | Motors: [524, 558, 578, 502]
[INFO] [1751983378.100144082] [Feedback_Linearization_Controller]: Pos: [-0.03, -0.10, 2.66] | Desired: [1.00, 1.00, 3.00] | Motors: [534, 569, 589, 511]
[INFO] [1751983378.118208393] [Feedback_Linearization_Controller]: Pos: [-0.03, -0.12, 2.68] | Desired: [1.00, 1.00, 3.00] | Motors: [550, 586, 606, 527]
[INFO] [1751983378.135827123] [Feedback_Linearization_Controller]: Pos: [-0.04, -0.13, 2.71] | Desired: [1.00, 1.00, 3.00] | Motors: [552, 591, 612, 530]
[INFO] [1751983378.157660837] [Feedback_Linearization_Controller]: Pos: [-0.04, -0.14, 2.72] | Desired: [1.00, 1.00, 3.00] | Motors: [594, 630, 649, 574]
[INFO] [1751983378.174462261] [Feedback_Linearization_Controller]: Pos: [-0.04, -0.15, 2.74] | Desired: [1.00, 1.00, 3.00] | Motors: [597, 635, 654, 576]
[INFO] [1751983378.187716222] [Feedback_Linearization_Controller]: Pos: [-0.05, -0.17, 2.76] | Desired: [1.00, 1.00, 3.00] | Motors: [563, 612, 633, 540]
[INFO] [1751983378.204102834] [Feedback_Linearization_Controller]: Pos: [-0.05, -0.18, 2.78] | Desired: [1.00, 1.00, 3.00] | Motors: [589, 637, 658, 566]
[INFO] [1751983378.220543446] [Feedback_Linearization_Controller]: Pos: [-0.05, -0.20, 2.79] | Desired: [1.00, 1.00, 3.00] | Motors: [605, 656, 676, 583]
[INFO] [1751983378.237547210] [Feedback_Linearization_Controller]: Pos: [-0.06, -0.22, 2.81] | Desired: [1.00, 1.00, 3.00] | Motors: [629, 681, 700, 607]
[INFO] [1751983378.254463639] [Feedback_Linearization_Controller]: Pos: [-0.06, -0.24, 2.82] | Desired: [1.00, 1.00, 3.00] | Motors: [651, 705, 724, 629]
[INFO] [1751983378.271504085] [Feedback_Linearization_Controller]: Pos: [-0.07, -0.26, 2.84] | Desired: [1.00, 1.00, 3.00] | Motors: [680, 736, 754, 659]
[INFO] [1751983378.288514688] [Feedback_Linearization_Controller]: Pos: [-0.08, -0.29, 2.85] | Desired: [1.00, 1.00, 3.00] | Motors: [713, 771, 789, 693]
[INFO] [1751983378.305568108] [Feedback_Linearization_Controller]: Pos: [-0.08, -0.32, 2.86] | Desired: [1.00, 1.00, 3.00] | Motors: [754, 814, 831, 736]
[INFO] [1751983378.322635697] [Feedback_Linearization_Controller]: Pos: [-0.09, -0.35, 2.87] | Desired: [1.00, 1.00, 3.00] | Motors: [806, 866, 882, 788]
[INFO] [1751983378.340097919] [Feedback_Linearization_Controller]: Pos: [-0.10, -0.38, 2.88] | Desired: [1.00, 1.00, 3.00] | Motors: [875, 935, 950, 859]
[INFO] [1751983378.357045846] [Feedback_Linearization_Controller]: Pos: [-0.10, -0.42, 2.89] | Desired: [1.00, 1.00, 3.00] | Motors: [963, 1021, 1035, 948]
[INFO] [1751983378.374010740] [Feedback_Linearization_Controller]: Pos: [-0.11, -0.47, 2.89] | Desired: [1.00, 1.00, 3.00] | Motors: [1087, 1140, 1153, 1074]
[INFO] [1751983378.391247302] [Feedback_Linearization_Controller]: Pos: [-0.12, -0.51, 2.90] | Desired: [1.00, 1.00, 3.00] | Motors: [1267, 1314, 1325, 1255]
[INFO] [1751983378.408223161] [Feedback_Linearization_Controller]: Pos: [-0.13, -0.56, 2.90] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983378.424924252] [Feedback_Linearization_Controller]: Pos: [-0.14, -0.62, 2.90] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983378.442076111] [Feedback_Linearization_Controller]: Pos: [-0.15, -0.67, 2.90] | Desired: [1.00, 1.00, 3.00] | Motors: [1500, 1500, 1500, 1500]
[INFO] [1751983378.459144708] [Feedback_Linearization_Controller]: Pos: [-0.17, -0.74, 2.90] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 266, 312, 100]
[INFO] [1751983378.476032846] [Feedback_Linearization_Controller]: Pos: [-0.18, -0.80, 2.89] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 270, 315, 100]
[INFO] [1751983378.493250872] [Feedback_Linearization_Controller]: Pos: [-0.19, -0.87, 2.88] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 274, 317, 100]
[INFO] [1751983378.510881391] [Feedback_Linearization_Controller]: Pos: [-0.20, -0.94, 2.86] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 279, 320, 100]
[INFO] [1751983378.528639785] [Feedback_Linearization_Controller]: Pos: [-0.22, -1.00, 2.85] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 282, 322, 100]
[INFO] [1751983378.546046008] [Feedback_Linearization_Controller]: Pos: [-0.23, -1.07, 2.83] | Desired: [1.00, 1.00, 3.00] | Motors: [100, 288, 326, 100]
[INFO] [1751983378.563321324] [Feedback_Linearization_Controller]: Pos: [-0.24, -1.14, 2.81] | Desired: [1.00, 1.00, 3.00] | Motors: [238, 100, 100, 185]
[INFO] [1751983378.580446606] [Feedback_Linearization_Controller]: Pos: [-0.25, -1.21, 2.78] | Desired: [1.00, 1.00, 3.00] | Motors: [231, 100, 100, 177]
[INFO] [1751983378.597267131] [Feedback_Linearization_Controller]: Pos: [-0.27, -1.28, 2.75] | Desired: [1.00, 1.00, 3.00] | Motors: [226, 100, 100, 173]
[INFO] [1751983378.614016457] [Feedback_Linearization_Controller]: Pos: [-0.28, -1.35, 2.72] | Desired: [1.00, 1.00, 3.00] | Motors: [221, 100, 100, 168]
[INFO] [1751983378.630294262] [Feedback_Linearization_Controller]: Pos: [-0.29, -1.43, 2.69] | Desired: [1.00, 1.00, 3.00] | Motors: [216, 100, 100, 165]
[INFO] [1751983378.647217747] [Feedback_Linearization_Controller]: Pos: [-0.30, -1.50, 2.65] | Desired: [1.00, 1.00, 3.00] | Motors: [211, 100, 100, 161]
[INFO] [1751983378.664486660] [Feedback_Linearization_Controller]: Pos: [-0.32, -1.57, 2.61] | Desired: [1.00, 1.00, 3.00] | Motors: [207, 100, 100, 159]
[INFO] [1751983378.681863382] [Feedback_Linearization_Controller]: Pos: [-0.33, -1.64, 2.57] | Desired: [1.00, 1.00, 3.00] | Motors: [204, 100, 100, 156]
[INFO] [1751983378.704813244] [Feedback_Linearization_Controller]: Pos: [-0.34, -1.71, 2.52] | Desired: [1.00, 1.00, 3.00] | Motors: [207, 100, 100, 162]
[INFO] [1751983378.722457938] [Feedback_Linearization_Controller]: Pos: [-0.35, -1.78, 2.48] | Desired: [1.00, 1.00, 3.00] | Motors: [198, 100, 100, 153]
[INFO] [1751983378.734160063] [Feedback_Linearization_Controller]: Pos: [-0.36, -1.84, 2.43] | Desired: [1.00, 1.00, 3.00] | Motors: [184, 100, 100, 139]
[INFO] [1751983378.751313287] [Feedback_Linearization_Controller]: Pos: [-0.38, -1.91, 2.38] | Desired: [1.00, 1.00, 3.00] | Motors: [185, 100, 100, 143]
[INFO] [1751983378.768847266] [Feedback_Linearization_Controller]: Pos: [-0.39, -1.99, 2.32] | Desired: [1.00, 1.00, 3.00] | Motors: [179, 100, 100, 138]
[INFO] [1751983378.785547087] [Feedback_Linearization_Controller]: Pos: [-0.40, -2.06, 2.26] | Desired: [1.00, 1.00, 3.00] | Motors: [172, 100, 100, 133]
[INFO] [1751983378.803188145] [Feedback_Linearization_Controller]: Pos: [-0.41, -2.13, 2.19] | Desired: [1.00, 1.00, 3.00] | Motors: [170, 100, 100, 132]
